Rank,Team,G,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,x3PAr,TSp,eFGp,TOVp,ORBp,FT/FGA,DRBp,FG_per_game,x3P_per_game,x2P_per_game,FT_per_game,PTS_per_game,AST_per_game,STL_per_game,BLK_per_game,ORB_per_game,DRB_per_game,TOV_per_game,PF_per_game,exp_PTS_per_game
1,Milwaukee Bucks,82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,80.3,43.353658536585364,13.475609756097562,29.878048780487806,17.9390243902439,118.1219512195122,26.048780487804876,7.5,5.926829268292683,9.292682926829269,40.4390243902439,13.865853658536585,19.609756097560975,117.53920377760977
2,Golden State Warriors,82,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,77.1,44.048780487804876,13.25609756097561,30.79268292682927,16.329268292682926,117.6829268292683,29.426829268292682,7.621951219512195,6.402439024390244,9.71951219512195,36.46341463414634,14.25609756097561,21.426829268292682,116.865705184195
3,New Orleans Pelicans,82,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466,25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,76.8,43.670731707317074,10.268292682926829,33.40243902439025,17.829268292682926,115.4390243902439,27.024390243902438,7.439024390243903,5.378048780487805,11.085365853658537,36.207317073170735,14.817073170731707,21.121951219512194,114.1217604632522
4,Philadelphia 76ers,82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,78.6,41.548780487804876,10.841463414634147,30.70731707317073,21.24390243902439,115.1829268292683,26.914634146341463,7.390243902439025,5.2682926829268295,10.878048780487806,36.890243902439025,14.914634146341463,21.28048780487805,115.06803032516449
5,Los Angeles Clippers,82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,76,41.26829268292683,10.012195121951219,31.25609756097561,22.597560975609756,115.14634146341463,24.024390243902438,6.841463414634147,4.695121951219512,9.707317073170731,35.80487804878049,14.548780487804878,23.329268292682926,114.83333507348186
6,Portland Trail Blazers,82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,77.9,42.31707317073171,11.024390243902438,31.29268292682927,19,114.65853658536585,23.01219512195122,6.658536585365853,5.036585365853658,11.792682926829269,36.19512195121951,13.841463414634147,20.353658536585368,111.32375697746699
7,Oklahoma City Thunder,82,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,78.2,42.646341463414636,11.365853658536585,31.28048780487805,17.817073170731707,114.47560975609755,23.378048780487806,9.341463414634147,5.182926829268292,12.573170731707316,35.5,13.963414634146341,22.426829268292682,115.66957600564592
8,Toronto Raptors,82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,77.1,42.19512195121951,12.378048780487806,29.817073170731707,17.670731707317074,114.4390243902439,25.426829268292682,8.292682926829269,5.329268292682927,9.585365853658537,35.609756097560975,14.024390243902438,21.024390243902438,113.17452488642294
9,Sacramento Kings,82,19730,3541,7637,0.464,927,2455,0.378,2614,5182,0.504,1354,1865,0.726,906,2819,3725,2083,679,363,1095,1751,9363,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,75.5,43.18292682926829,11.304878048780488,31.878048780487806,16.51219512195122,114.1829268292683,25.402439024390244,8.28048780487805,4.426829268292683,11.048780487804878,34.3780487804878,13.353658536585366,21.353658536585368,114.39198856029157
10,Washington Wizards,82,19930,3456,7387,0.468,930,2731,0.341,2526,4656,0.543,1508,1963,0.768,794,2679,3473,2154,683,379,1154,1701,9350,26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,74.1,42.146341463414636,11.341463414634147,30.804878048780488,18.390243902439025,114.02439024390245,26.26829268292683,8.329268292682928,4.621951219512195,9.682926829268293,32.670731707317074,14.073170731707316,20.74390243902439,109.66555279304833
11,Houston Rockets,82,19830,3218,7163,0.449,1323,3721,0.356,1895,3442,0.551,1582,2001,0.791,836,2613,3449,1741,700,405,1094,1803,9341,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,74.4,39.24390243902439,16.134146341463413,23.109756097560975,19.29268292682927,113.91463414634147,21.23170731707317,8.536585365853659,4.939024390243903,10.195121951219512,31.865853658536587,13.341463414634147,21.98780487804878,107.82639461094874
12,Atlanta Hawks,82,19855,3392,7524,0.451,1067,3034,0.352,2325,4490,0.518,1443,1918,0.752,955,2825,3780,2118,675,419,1397,1932,9294,25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,76.4,41.36585365853659,13.012195121951219,28.353658536585368,17.597560975609756,113.34146341463415,25.829268292682926,8.231707317073171,5.109756097560975,11.646341463414634,34.451219512195124,17.036585365853657,23.5609756097561,111.49102062538842
13,Minnesota Timberwolves,82,19830,3413,7483,0.456,827,2357,0.351,2586,5126,0.504,1570,1995,0.787,923,2750,3673,2018,683,411,1074,1664,9223,26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,74.9,41.6219512195122,10.085365853658537,31.536585365853657,19.146341463414632,112.47560975609755,24.609756097560975,8.329268292682928,5.012195121951219,11.25609756097561,33.53658536585366,13.097560975609756,20.29268292682927,110.89698622481686
14,Boston Celtics,82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,77,42.08536585365854,12.585365853658537,29.5,15.634146341463415,112.39024390243902,26.28048780487805,8.609756097560975,5.304878048780488,9.804878048780488,34.74390243902439,12.829268292682928,20.365853658536587,114.02755577102889
15,Brooklyn Nets,82,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,76.4,40.25609756097561,12.768292682926829,27.48780487804878,18.963414634146343,112.2439024390244,23.829268292682926,6.573170731707317,4.134146341463414,10.975609756097562,35.59756097560975,15.073170731707316,21.5,111.08866697495355
16,Los Angeles Lakers,82,19780,3491,7425,0.47,847,2541,0.333,2644,4884,0.541,1336,1910,0.699,835,2985,3820,2096,618,440,1284,1701,9165,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,76.4,42.573170731707314,10.329268292682928,32.24390243902439,16.29268292682927,111.76829268292683,25.5609756097561,7.536585365853658,5.365853658536586,10.182926829268293,36.40243902439025,15.658536585365853,20.74390243902439,110.71170238473644
17,Utah Jazz,82,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,80.3,40.41463414634146,12.109756097560975,28.304878048780488,18.78048780487805,111.71951219512195,26.01219512195122,8.085365853658537,5.890243902439025,10,36.353658536585364,15.121951219512194,21.073170731707318,112.42870407323079
18,San Antonio Spurs,82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,79.4,42.292682926829265,9.902439024390244,32.390243902439025,17.170731707317074,111.65853658536585,24.548780487804876,6.109756097560975,4.7073170731707314,9.231707317073171,35.48780487804878,12.097560975609756,18.134146341463413,109.98465060467697
19,Charlotte Hornets,82,19830,3297,7362,0.448,977,2783,0.351,2320,4579,0.507,1510,1895,0.797,814,2778,3592,1905,591,405,1001,1550,9081,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,77.1,40.207317073170735,11.914634146341463,28.29268292682927,18.414634146341463,110.7439024390244,23.23170731707317,7.2073170731707314,4.939024390243903,9.926829268292684,33.8780487804878,12.207317073170731,18.902439024390244,108.41059185578473
20,Denver Nuggets,82,19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,78,41.9390243902439,11.012195121951219,30.926829268292682,15.78048780487805,110.67073170731707,27.378048780487806,7.7317073170731705,4.426829268292683,11.853658536585366,34.53658536585366,13.439024390243903,20.048780487804876,113.91628897005697
21,Dallas Mavericks,82,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,77.5,38.80487804878049,12.463414634146341,26.341463414634145,18.79268292682927,108.86585365853658,23.390243902439025,6.5,4.280487804878049,10.146341463414634,35.170731707317074,14.231707317073171,20.121951219512194,108.87008951865775
22,Indiana Pacers,82,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,76.2,41.34146341463415,9.5,31.841463414634145,15.829268292682928,108.01219512195122,25.951219512195124,8.695121951219512,4.926829268292683,9.292682926829269,33.73170731707317,13.682926829268293,19.4390243902439,109.29820540157169
23,Phoenix Suns,82,19880,3289,7164,0.459,790,2400,0.329,2499,4764,0.525,1447,1858,0.779,748,2563,3311,1957,735,418,1279,1932,8815,24,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,72.5,40.109756097560975,9.634146341463415,30.475609756097562,17.646341463414632,107.5,23.865853658536587,8.963414634146341,5.097560975609756,9.121951219512194,31.25609756097561,15.597560975609756,23.5609756097561,107.35413741249647
24,Orlando Magic,82,19780,3316,7307,0.454,937,2633,0.356,2379,4674,0.509,1231,1575,0.782,822,2902,3724,2095,543,445,1082,1526,8800,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,79.7,40.4390243902439,11.426829268292684,29.01219512195122,15.012195121951219,107.3170731707317,25.548780487804876,6.621951219512195,5.426829268292683,10.024390243902438,35.390243902439025,13.195121951219512,18.609756097560975,109.54980514540566
25,Detroit Pistons,82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,78.7,38.84146341463415,12.109756097560975,26.73170731707317,17.25609756097561,107.04878048780488,22.5,6.939024390243903,4.036585365853658,11.414634146341463,33.5609756097561,13.841463414634147,22.085365853658537,110.75623859869329
26,Miami Heat,82,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,77.6,39.646341463414636,11.317073170731707,28.329268292682926,15.097560975609756,105.70731707317073,24.28048780487805,7.646341463414634,5.463414634146342,11.231707317073171,35.109756097560975,14.731707317073171,20.878048780487806,110.1185427649485
27,Chicago Bulls,82,19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605,24,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,77.3,39.829268292682926,9.085365853658537,30.74390243902439,16.195121951219512,104.9390243902439,21.902439024390244,7.353658536585366,4.280487804878049,8.75609756097561,34.13414634146341,14.134146341463415,20.28048780487805,106.54200382212426
28,New York Knicks,82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575,23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,76.1,38.21951219512195,10.036585365853659,28.182926829268293,18.097560975609756,104.57317073170732,20.073170731707318,6.7926829268292686,5.146341463414634,10.451219512195122,34.28048780487805,14.036585365853659,20.890243902439025,106.13012992392652
29,Cleveland Cavaliers,82,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,77,38.890243902439025,10.329268292682928,28.5609756097561,16.365853658536587,104.47560975609755,20.70731707317073,6.512195121951219,2.3780487804878048,10.71951219512195,31.9390243902439,13.487804878048781,20.024390243902438,104.80296235031972
30,Memphis Grizzlies,82,19880,3113,6924,0.45,811,2368,0.342,2302,4556,0.505,1453,1882,0.772,723,2703,3426,1963,684,448,1147,1801,8490,27.7,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,77.6,37.96341463414634,9.890243902439025,28.073170731707318,17.71951219512195,103.53658536585365,23.9390243902439,8.341463414634147,5.463414634146342,8.817073170731707,32.96341463414634,13.987804878048781,21.963414634146343,109.39798648063118
